# A<TAB>location<TAB>x<TAB>y<TAB>plane
# S/B<TAB>helper<TAB>task<TAB>location<TAB>access xyz<TAB>destination xyz<TAB>transition<TAB>positioning<TAB>npc aliases
A	Slayer Tower	3428	3536	0
A	Catacombs of Kourend	1639	3673	0
A	Fremennik Slayer Dungeon	2796	3615	0
A	Kraken Cove	2280	3616	0
A	Lighthouse Dungeon	2518	3630	0
A	Lighthouse	2518	3630	0
A	Jormungand's Prison	2445	3747	0
A	Waterbirth Island Dungeon	2443	3746	0
A	Death Plateau	2847	3635	0
A	Taverley Dungeon	2885	3397	0
A	Cerberus' Lair	2885	3397	0
A	Key Master	2885	3397	0
A	Stronghold of Security	3081	3421	0
A	Stronghold Slayer Cave	2432	3423	0
A	Gnome Stronghold Slayer Cave	2432	3423	0
A	Nieve's Slayer Cave	2432	3423	0
A	Steve's Slayer Cave	2432	3423	0
A	Asgarnian Ice Dungeon	3009	3150	0
A	God Wars Dungeon	2916	3746	0
A	Wilderness God Wars Dungeon	3017	3740	0
A	Chasm of Fire	1435	3670	0
A	Darkmeyer	3604	3364	0
A	Morytania Spider Cave	3657	3407	0
A	Meiyerditch Laboratories	3638	3304	0
A	Buccaneers' Laboratory	2075	3688	0
A	Slayer Tower (first floor)	3428	3536	0
A	Slayer Tower basement	3428	3536	0
A	Lunar Isle	2112	3915	0
A	Zanaris	3202	3169	0
A	Brine Rat Cavern	2730	3714	0
A	Karuulm Slayer Dungeon	1311	3783	0
A	Mount Karuulm	1311	3783	0
A	Smoke Devil Dungeon	2411	3058	0
A	Wyvern Cave on Fossil Island	3680	3854	0
A	Fossil Island Wyvern Cave	3680	3854	0
A	Ancient Cavern	2512	3511	0
A	Lletya	2355	3172	0
A	Iorwerth Dungeon	3225	6045	0
A	Mourner Tunnels	2028	4636	0
A	Mos Le'Harmless Cave	3748	2974	0
A	Kalphite Slayer Cave	3321	3122	0
A	Kalphite Cave	3321	3122	0
A	Lithkren Vault	1568	5088	0
A	Wilderness Slayer Cave	3056	3765	0
A	Ferox Enclave	3130	3630	0
A	Abyssal Nexus	3107	4791	0
A	Al Kharid mine	3298	3293	0
A	Ancient Guthixian Temple	4097	4419	0
A	Ardougne area	2570	3300	0
A	Bandit Camp	3171	2979	0
A	Barrows	3567	3291	0
A	Black Knights' Fortress	3015	3514	0
A	Braindeath Island	3680	3536	0
A	Brimhaven Dungeon	2745	3152	0
A	Callisto's Den	3290	3855	0
A	Crash Site Cavern	2464	3494	0
A	Deep Wilderness	3045	3925	0
A	Desert quarry	3172	2912	0
A	Dorgesh-Kaan South Dungeon	3169	3173	0
A	Dwarven Mine	3018	3450	0
A	Edgeville Dungeon	3096	3468	0
A	Falador Mole Lair	2996	3377	0
A	Feldip Hills	2515	2954	0
A	Fight Caves	2439	5172	0
A	TzHaar Fight Cave	2439	5172	0
A	Forthos Dungeon	1667	3570	0
A	Fossil Island	3683	3706	0
A	Ghorrock Dungeon	2920	3930	0
A	Grimstone Dungeon	2912	4066	0
A	Haunted Woods	3584	3492	0
A	Hunter's End	3112	3670	0
A	Ice Mountain	3010	3486	0
A	Isle of Souls	2210	2900	0
A	Kalphite Lair	3228	3109	0
A	Karamja	2843	3070	0
A	Karamja Volcano	2855	3168	0
A	Inferno	2496	5115	0
A	Kebos Lowlands	1248	3726	0
A	Killerwatt plane	3108	3362	0
A	King Black Dragon Lair	3017	3850	0
A	Kourend Woodland	1540	3464	0
A	Lassar Undercity	3000	3494	0
A	Legends' Guild basement	2728	3348	0
A	Lumbridge area	3188	3220	0
A	Lumbridge cow field	3253	3266	0
A	Lumbridge Swamp Caves	3169	3173	0
A	Maggot King's lair	3161	7711	0
A	Mogre beach	2996	3106	0
A	Mor Ul Rek east bank	2496	5115	0
A	Mort'ton	3488	3288	0
A	Nardah desert	3427	2911	0
A	Piscatoris area	2332	3683	0
A	Poison Waste Dungeon	2322	3099	0
A	Royal Titans arena	2982	3113	0
A	Ruins of Tapoyauik	1641	3221	0
A	Scorpia's Cave	3232	3950	0
A	Web Chasm	3294	3749	0
A	Skeletal Tomb	3152	3644	0
A	Silk Chasm	3321	3794	0
A	Vet'ion's Rest	3219	3788	0
A	The Great Conch	3176	2477	0
A	Shellbane Gryphon Cave	3176	2477	0
A	Slayer Tower rooftop	3428	3536	0
A	Sophanem Dungeon	3315	2796	0
A	Skotizo's Lair	1639	3673	0
A	Stalker Den	1325	3364	0
