# Columns: task_name, prayer_slots, loot_slots, food_slots, include_style_boost
Aberrant spectres	4	2	12	true
Basilisks	4	2	12	true
Bloodveld	4	2	12	true
Dark beasts	4	2	12	true
Infernal mages	4	2	12	true
Spiritual creatures	4	2	12	true
Suqahs	5	8	6	true
Aquanites	3	8	8	true
Drakes	3	8	8	true
Fossil island wyverns	3	8	8	true
Frost dragons	3	8	8	true
Hydras	3	8	8	true
Skeletal wyverns	3	8	8	true
Waterfiends	3	8	8	true
Wyrms	3	8	8	true
Ankou	0	0	24	true
Blue dragons	0	0	24	true
Catablepon	0	0	24	true
Cave bugs	0	0	24	true
Crocodiles	0	0	24	true
Fever spiders	0	0	24	true
Fleshcrawlers	0	0	24	true
Ghouls	0	0	24	true
Hobgoblins	0	0	24	true
Jungle horrors	0	0	24	true
Killerwatts	0	0	24	true
Minotaurs	0	0	24	true
Ogres	0	0	24	true
Otherworldly beings	0	0	24	true
Pyrefiends	0	0	24	true
Shades	0	0	24	true
Shadow warriors	0	0	24	true
Terror dogs	0	0	24	true
Wolves	0	0	24	true
Abyssal demons	5	0	16	true
Aviansies	5	0	16	true
Cave kraken	5	0	16	true
Dust devils	5	0	16	true
Jellies	5	0	16	true
Nechryael	5	0	16	true
Smoke devils	5	0	16	true
Vampyres	0	0	22	false
Bandits	0	2	20	false
Banshees	0	2	20	false
Bats	0	2	20	false
Bears	0	2	20	false
Birds	0	2	20	false
Black Knights	0	2	20	false
Cave crawlers	0	2	20	false
Chaos druids	0	2	20	false
Cows	0	2	20	false
Crabs	0	2	20	false
Crawling hands	0	2	20	false
Dogs	0	2	20	false
Dwarves	0	2	20	false
Goblins	0	2	20	false
Hill giants	0	2	20	false
Icefiends	0	2	20	false
Monkeys	0	2	20	false
Pirates	0	2	20	false
Rats	0	2	20	false
Scorpions	0	2	20	false
Spiders	0	2	20	false
Araxytes	2	6	12	true
Black demons	2	6	12	true
Black dragons	2	6	12	true
Brine rats	2	6	12	true
Cave horrors	2	6	12	true
Cave slimes	2	6	12	true
Cockatrice	2	6	12	true
Custodian Stalkers	2	6	12	true
Dagannoth	2	6	12	true
Dark warriors	2	6	12	true
Earth warriors	2	6	12	true
Elves	2	6	12	true
Ents	2	6	12	true
Fire giants	2	6	12	true
Gargoyles	2	6	12	true
Ghosts	2	6	12	true
Greater demons	2	6	12	true
Green dragons	2	6	12	true
Gryphons	2	6	12	true
Harpie bug swarms	2	6	12	true
Hellhounds	2	6	12	true
Ice giants	2	6	12	true
Ice warriors	2	6	12	true
Kalphite	2	6	12	true
Kalphites	2	6	12	true
Kurask	2	6	12	true
Lava Dragons	2	6	12	true
Lesser demons	2	6	12	true
Lesser Nagua	2	6	12	true
Lizardmen	2	6	12	true
Lizards	2	6	12	true
Magic axes	2	6	12	true
Mammoths	2	6	12	true
Metal dragons	2	6	12	true
Mogres	2	6	12	true
Molanisks	2	6	12	true
Moss giants	2	6	12	true
Mutated zygomites	2	6	12	true
Red dragons	2	6	12	true
Revenants	2	6	12	true
Rockslugs	2	6	12	true
Rogues	2	6	12	true
Scabarites	2	6	12	true
Sea snakes	2	6	12	true
Skeletons	2	6	12	true
Sourhogs	2	6	12	true
Trolls	2	6	12	true
Turoth	2	6	12	true
Tzhaar	2	6	12	true
Venators	2	6	12	true
Wall beasts	2	6	12	true
Warped Creatures	2	6	12	true
Werewolves	2	6	12	true
Zombies	2	6	12	true
